OC,B1,B2,B3,B4,B5,B6,B7,NDVI,B1_bare,B2_bare,B3_bare,B4_bare,B5_bare,B6_bare,B7_bare
9.3,0.0522386,0.0580019,0.115481,0.140439,0.336264,0.214679,0.135637,0.410790366,0.081492867,0.094405067,0.136438667,0.22523167,0.328921,0.413079997,0.34490033
9.4,0.0817854,0.087411,0.157154,0.22594,0.384584,0.395229,0.308315,0.259848917,0.09048315,0.097667025,0.159935995,0.236563748,0.330475505,0.415353748,0.334280755
9.4,0.0565064,0.0631111,0.119436,0.150531,0.329833,0.227145,0.144491,0.373262776,0.09048315,0.097667025,0.159935995,0.236563748,0.330475505,0.415353748,0.334280755
9.5,0.0270211,0.0234406,0.0709175,0.0638765,0.375167,0.28232,0.166931,0.709019721,0.100102567,0.113515533,0.17547067,0.248554,0.31757234,0.387083993,0.340241003
9.6,0.0950327,0.106684,0.142436,0.194341,0.329005,0.385114,0.264881,0.257313517,0.094049718,0.108307767,0.172020335,0.241222498,0.325271502,0.39915783,0.329041838
9.6,0.0850995,0.105173,0.175054,0.26606,0.474062,0.461071,0.283522,0.281037451,0.094049718,0.108307767,0.172020335,0.241222498,0.325271502,0.39915783,0.329041838
9.6,0.0567471,0.0589626,0.10993,0.128199,0.371768,0.329072,0.228006,0.487170153,0.094049718,0.108307767,0.172020335,0.241222498,0.325271502,0.39915783,0.329041838
9.6,0.0503629,0.0428823,0.0849605,0.0564252,0.440745,0.189172,0.106025,0.773014553,0.094049718,0.108307767,0.172020335,0.241222498,0.325271502,0.39915783,0.329041838
9.6,0.0215139,0.0191807,0.0659017,0.0463558,0.4266,0.203739,0.10221,0.803974071,0.094049718,0.108307767,0.172020335,0.241222498,0.325271502,0.39915783,0.329041838
9.7,0.0654196,0.0720714,0.11407,0.160624,0.283479,0.333015,0.21435,0.276636276,0.092280302,0.10717,0.1739864,0.238202998,0.340459398,0.421543398,0.325139204
9.7,0.064239,0.0576374,0.0804445,0.082078,0.311461,0.159363,0.0950763,0.582872346,0.092280302,0.10717,0.1739864,0.238202998,0.340459398,0.421543398,0.325139204
9.7,0.0396961,0.0386034,0.075646,0.0854062,0.333819,0.248136,0.14704999,0.592552165,0.092280302,0.10717,0.1739864,0.238202998,0.340459398,0.421543398,0.325139204
9.8,0.0536376,0.0511094,0.077824,0.119257,0.203444,0.31716999,0.22820701,0.260882365,0.08797472,0.10341492,0.16978,0.232894002,0.342760802,0.4195396,0.3262514
9.8,0.0716187,0.0758351,0.150072,0.171182,0.381097,0.37494,0.28065,0.380088687,0.08797472,0.10341492,0.16978,0.232894002,0.342760802,0.4195396,0.3262514
9.8,0.056244,0.0496515,0.0768146,0.086891,0.252191,0.262886,0.179966,0.487492701,0.08797472,0.10341492,0.16978,0.232894002,0.342760802,0.4195396,0.3262514
9.8,0.0474927,0.0413723,0.0985054,0.0634249,0.543798,0.134552,0.0602372,0.791098458,0.08797472,0.10341492,0.16978,0.232894002,0.342760802,0.4195396,0.3262514
9.9,0.0688759,0.0668491,0.106091,0.136233,0.268862,0.346026,0.271583,0.327402214,0.0816434,0.09659835,0.162641,0.224920505,0.332286505,0.408123505,0.321657
9.9,0.0447873,0.0550164,0.104687,0.150327,0.313205,0.31247,0.197995,0.351384586,0.0816434,0.09659835,0.162641,0.224920505,0.332286505,0.408123505,0.321657
9.9,0.0500686,0.0549631,0.10355,0.138469,0.298516,0.277967,0.207008,0.366252846,0.0816434,0.09659835,0.162641,0.224920505,0.332286505,0.408123505,0.321657
9.9,0.0170678,0.0157785,0.0482902,0.0706161,0.242245,0.211882,0.144499,0.548578586,0.0816434,0.09659835,0.162641,0.224920505,0.332286505,0.408123505,0.321657
9.9,0.0115035,0.00631398,0.0300154,0.0182448,0.402328,0.115976,0.053334,0.913238326,0.0816434,0.09659835,0.162641,0.224920505,0.332286505,0.408123505,0.321657
